Gene1	Gene2	Protein1	Protein2
GBP4	NUB1	Guanylate-binding protein 4 (EC 3.6.5.-) (GTP-binding protein 4) (GBP-4) (Guanine nucleotide-binding protein 4)	NEDD8 ultimate buster 1 (Negative regulator of ubiquitin-like proteins 1) (Renal carcinoma antigen NY-REN-18)
GBP5	TIGIT	Guanylate-binding protein 5 (EC 3.6.5.-) (GBP-TA antigen) (GTP-binding protein 5) (GBP-5) (Guanine nucleotide-binding protein 5)	T-cell immunoreceptor with Ig and ITIM domains (V-set and immunoglobulin domain-containing protein 9) (V-set and transmembrane domain-containing protein 3)
GC	GC	Vitamin D-binding protein (DBP) (VDB) (Gc protein-derived macrophage activating factor) (Gc-MAF) (GcMAF) (Gc-globulin) (Group-specific component) (Gc) (Vitamin D-binding protein-macrophage activating factor) (DBP-maf)	Vitamin D-binding protein (DBP) (VDB) (Gc protein-derived macrophage activating factor) (Gc-MAF) (GcMAF) (Gc-globulin) (Group-specific component) (Gc) (Vitamin D-binding protein-macrophage activating factor) (DBP-maf)
GCA	UBE2D1	Grancalcin	Ubiquitin-conjugating enzyme E2 D1 (EC 2.3.2.23) ((E3-independent) E2 ubiquitin-conjugating enzyme D1) (EC 2.3.2.24) (E2 ubiquitin-conjugating enzyme D1) (Stimulator of Fe transport) (SFT) (UBC4/5 homolog) (UbcH5) (Ubiquitin carrier protein D1) (Ubiquitin-conjugating enzyme E2(17)KB 1) (Ubiquitin-conjugating enzyme E2-17 kDa 1) (Ubiquitin-protein ligase D1)
GCK	GCK	Hexokinase-4 (HK4) (EC 2.7.1.1) (Glucokinase) (Hexokinase type IV) (HK IV) (Hexokinase-D)	Hexokinase-4 (HK4) (EC 2.7.1.1) (Glucokinase) (Hexokinase type IV) (HK IV) (Hexokinase-D)
GCLC	GCLM	Glutamate--cysteine ligase catalytic subunit (EC 6.3.2.2) (GCS heavy chain) (Gamma-ECS) (Gamma-glutamylcysteine synthetase)	Glutamate--cysteine ligase regulatory subunit (GCS light chain) (Gamma-ECS regulatory subunit) (Gamma-glutamylcysteine synthetase regulatory subunit) (Glutamate--cysteine ligase modifier subunit)
GDA	GDA	Guanine deaminase (Guanase) (Guanine aminase) (EC 3.5.4.3) (Guanine aminohydrolase) (GAH) (p51-nedasin)	Guanine deaminase (Guanase) (Guanine aminase) (EC 3.5.4.3) (Guanine aminohydrolase) (GAH) (p51-nedasin)
GFI1B	MFSD2B	Zinc finger protein Gfi-1b (Growth factor independent protein 1B) (Potential regulator of CDKN1A translocated in CML)	Sphingosine-1-phosphate transporter MFSD2B (Major facilitator superfamily domain-containing protein 2B) (hMfsd2b)
GFOD1	RAPGEF5	Glucose-fructose oxidoreductase domain-containing protein 1 (Gfo/Idh/MocA-like oxidoreductase domain-containing protein 1)	Rap guanine nucleotide exchange factor 5 (Guanine nucleotide exchange factor for Rap1) (M-Ras-regulated Rap GEF) (MR-GEF) (Related to Epac) (Repac)
GGH	PRADC1	Gamma-glutamyl hydrolase (EC 3.4.19.9) (Conjugase) (GH) (Gamma-Glu-X carboxypeptidase)	Protease-associated domain-containing protein 1 (Protease-associated domain-containing protein of 21 kDa) (hPAP21)
GGNBP2	PPIG	Gametogenetin-binding protein 2 (Laryngeal carcinoma-related protein 1) (Protein ZNF403)	Peptidyl-prolyl cis-trans isomerase G (PPIase G) (Peptidyl-prolyl isomerase G) (EC 5.2.1.8) (CASP10) (Clk-associating RS-cyclophilin) (CARS-Cyp) (CARS-cyclophilin) (SR-cyclophilin) (SR-cyp) (SRcyp) (Cyclophilin G) (Rotamase G)
GGPS1	THAP5	Geranylgeranyl pyrophosphate synthase (GGPP synthase) (GGPPSase) (EC 2.5.1.-) ((2E,6E)-farnesyl diphosphate synthase) (Dimethylallyltranstransferase) (EC 2.5.1.1) (Farnesyl diphosphate synthase) (Farnesyltranstransferase) (EC 2.5.1.29) (Geranylgeranyl diphosphate synthase) (Geranyltranstransferase) (EC 2.5.1.10)	THAP domain-containing protein 5
GGT1	RETSAT	Glutathione hydrolase 1 proenzyme (EC 3.4.19.13) (Gamma-glutamyltransferase 1) (Gamma-glutamyltranspeptidase 1) (GGT 1) (EC 2.3.2.2) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) (CD antigen CD224) [Cleaved into: Glutathione hydrolase 1 heavy chain; Glutathione hydrolase 1 light chain]	All-trans-retinol 13,14-reductase (EC 1.3.99.23) (All-trans-13,14-dihydroretinol saturase) (RetSat) (PPAR-alpha-regulated and starvation-induced gene protein)
GGTLC3	STARD6	Glutathione hydrolase light chain 3 (Gamma-glutamyltransferase light chain 3)	StAR-related lipid transfer protein 6 (START domain-containing protein 6) (StARD6)
GINS1	GINS2	DNA replication complex GINS protein PSF1 (GINS complex subunit 1)	DNA replication complex GINS protein PSF2 (GINS complex subunit 2)
GIPC1	MYO6	PDZ domain-containing protein GIPC1 (GAIP C-terminus-interacting protein) (RGS-GAIP-interacting protein) (RGS19-interacting protein 1) (Synectin) (Tax interaction protein 2) (TIP-2)	Unconventional myosin-VI (Unconventional myosin-6)
GJA10	GJA10	Gap junction alpha-10 protein (Connexin-62) (Cx62)	Gap junction alpha-10 protein (Connexin-62) (Cx62)
GJA5	MMRN2	Gap junction alpha-5 protein (Connexin-40) (Cx40)	Multimerin-2 (EMILIN-3) (Elastin microfibril interface located protein 3) (Elastin microfibril interfacer 3) (EndoGlyx-1 p125/p140 subunit)
GJA9	GJA9	Gap junction alpha-9 protein (Connexin-58) (Cx58) (Connexin-59) (Cx59) (Gap junction alpha-10 protein)	Gap junction alpha-9 protein (Connexin-58) (Cx58) (Connexin-59) (Cx59) (Gap junction alpha-10 protein)
GJC1	GJC1	Gap junction gamma-1 protein (Connexin-45) (Cx45) (Gap junction alpha-7 protein)	Gap junction gamma-1 protein (Connexin-45) (Cx45) (Gap junction alpha-7 protein)
GJE1	GJE1	Gap junction epsilon-1 protein (Connexin-23) (Cx23)	Gap junction epsilon-1 protein (Connexin-23) (Cx23)
GK2	GK2	Glycerol kinase 2 (GK 2) (Glycerokinase 2) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase 2) (Glycerol kinase, testis specific 2)	Glycerol kinase 2 (GK 2) (Glycerokinase 2) (EC 2.7.1.30) (ATP:glycerol 3-phosphotransferase 2) (Glycerol kinase, testis specific 2)
GLA	GLA	Alpha-galactosidase A (EC 3.2.1.22) (Alpha-D-galactosidase A) (Alpha-D-galactoside galactohydrolase) (Galactosylgalactosylglucosylceramidase GLA) (Melibiase) (Agalsidase)	Alpha-galactosidase A (EC 3.2.1.22) (Alpha-D-galactosidase A) (Alpha-D-galactoside galactohydrolase) (Galactosylgalactosylglucosylceramidase GLA) (Melibiase) (Agalsidase)
GLI1	SUFU	Zinc finger protein GLI1 (Glioma-associated oncogene) (Oncogene GLI)	Suppressor of fused homolog (SUFUH)
GLI3	ZFHX4	Transcriptional activator GLI3 (GLI3 form of 190 kDa) (GLI3-190) (GLI3 full-length protein) (GLI3FL) [Cleaved into: Transcriptional repressor GLI3R (GLI3 C-terminally truncated form) (GLI3 form of 83 kDa) (GLI3-83)]	Zinc finger homeobox protein 4 (Zinc finger homeodomain protein 4) (ZFH-4)
GLRA1	GLRB	Glycine receptor subunit alpha-1 (Glycine receptor 48 kDa subunit) (Glycine receptor strychnine-binding subunit)	Glycine receptor subunit beta (Glycine receptor 58 kDa subunit)
GLRA2	RAB3B	Glycine receptor subunit alpha-2	Ras-related protein Rab-3B (EC 3.6.5.2)
GNAQ	PICALM	Guanine nucleotide-binding protein G(q) subunit alpha (EC 3.6.5.-) (Guanine nucleotide-binding protein alpha-q)	Phosphatidylinositol-binding clathrin assembly protein (Clathrin assembly lymphoid myeloid leukemia protein)
GNB1	KIF1B	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1 (Transducin beta chain 1)	Kinesin-like protein KIF1B (Klp) (EC 5.6.1.3)
GNB3	GRM6	Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-3 (Transducin beta chain 3)	Metabotropic glutamate receptor 6 (mGluR6)
GNB4	SWAP70	Guanine nucleotide-binding protein subunit beta-4 (Transducin beta chain 4)	Switch-associated protein 70 (SWAP-70)
GNG4	TOX2	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-4	TOX high mobility group box family member 2 (Granulosa cell HMG box protein 1) (GCX-1)
GNG8	GNG8	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-8 (Gamma-9)	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-8 (Gamma-9)
GNGT1	GPR88	Guanine nucleotide-binding protein G(T) subunit gamma-T1 (Transducin gamma chain)	G protein-coupled receptor 88 (Striatum-specific G-protein coupled receptor)
GOLGA2	UBXN6	Golgin subfamily A member 2 (130 kDa cis-Golgi matrix protein) (GM130) (GM130 autoantigen) (Golgin-95)	UBX domain-containing protein 6 (UBX domain-containing protein 1)
GOLGA6L4	LDLRAD2	Golgin subfamily A member 6-like protein 4	Low-density lipoprotein receptor class A domain-containing protein 2
GOLGA8A	GOLGA8B	Golgin subfamily A member 8A (88 kDa Golgi matrix protein) (GM88) (GM88 autoantigen)	Golgin subfamily A member 8B (Golgin-67)
GOLGA8N	KCNA7	Golgin subfamily A member 8N	Potassium voltage-gated channel subfamily A member 7 (Voltage-gated potassium channel subunit Kv1.7)
GP5	GP9	Platelet glycoprotein V (GPV) (Glycoprotein 5) (CD antigen CD42d)	Platelet glycoprotein IX (GP-IX) (GPIX) (Glycoprotein 9) (CD antigen CD42a)
GPATCH11	OSBPL11	G patch domain-containing protein 11 (Coiled-coil domain-containing protein 75)	Oxysterol-binding protein-related protein 11 (ORP-11) (OSBP-related protein 11)
GPIHBP1	LPL	Glycosylphosphatidylinositol-anchored high density lipoprotein-binding protein 1 (GPI-HBP1) (GPI-anchored HDL-binding protein 1) (High density lipoprotein-binding protein 1)	Lipoprotein lipase (LPL) (EC 3.1.1.34) (Phospholipase A1) (EC 3.1.1.32)
GPM6B	KLHL4	Neuronal membrane glycoprotein M6-b (M6b)	Kelch-like protein 4
GPR137B	NR1H3	Integral membrane protein GPR137B (Transmembrane 7 superfamily member 1 protein)	Oxysterols receptor LXR-alpha (Liver X receptor alpha) (Nuclear receptor subfamily 1 group H member 3)
GPR27	OR52H1	Probable G-protein coupled receptor 27 (Super conserved receptor expressed in brain 1)	Olfactory receptor 52H1 (Olfactory receptor OR11-45)
GPR89A	PRPF39	Golgi pH regulator A (Protein GPR89A) (Putative MAPK-activating protein PM01) (Putative NF-kappa-B-activating protein 90)	Pre-mRNA-processing factor 39 (PRP39 homolog)
GPT2	MMD2	Alanine aminotransferase 2 (ALT2) (EC 2.6.1.2) (Glutamate pyruvate transaminase 2) (GPT 2) (Glutamic--alanine transaminase 2) (Glutamic--pyruvic transaminase 2)	Monocyte to macrophage differentiation factor 2 (Progestin and adipoQ receptor family member 10) (Progestin and adipoQ receptor family member X)
GPX3	PDK4	Glutathione peroxidase 3 (GPx-3) (GSHPx-3) (EC 1.11.1.9) (Extracellular glutathione peroxidase) (Plasma glutathione peroxidase) (GPx-P) (GSHPx-P)	[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial (EC 2.7.11.2) (Pyruvate dehydrogenase kinase isoform 4)
GPX6	GPX6	Glutathione peroxidase 6 (GPx-6) (GSHPx-6) (EC 1.11.1.9)	Glutathione peroxidase 6 (GPx-6) (GSHPx-6) (EC 1.11.1.9)
GRAMD1A	STAT5A	Protein Aster-A (GRAM domain-containing protein 1A)	Signal transducer and activator of transcription 5A
GRIK2	GRIK2	Glutamate receptor ionotropic, kainate 2 (GluK2) (Excitatory amino acid receptor 4) (EAA4) (Glutamate receptor 6) (GluR-6) (GluR6)	Glutamate receptor ionotropic, kainate 2 (GluK2) (Excitatory amino acid receptor 4) (EAA4) (Glutamate receptor 6) (GluR-6) (GluR6)
GRIK3	VAV2	Glutamate receptor ionotropic, kainate 3 (GluK3) (Excitatory amino acid receptor 5) (EAA5) (Glutamate receptor 7) (GluR-7) (GluR7)	Guanine nucleotide exchange factor VAV2 (VAV-2)
GRIN1	GRIN2B	Glutamate receptor ionotropic, NMDA 1 (GluN1) (Glutamate [NMDA] receptor subunit zeta-1) (N-methyl-D-aspartate receptor subunit NR1) (NMD-R1) (hNR1)	Glutamate receptor ionotropic, NMDA 2B (GluN2B) (Glutamate [NMDA] receptor subunit epsilon-2) (N-methyl D-aspartate receptor subtype 2B) (NMDAR2B) (NR2B) (N-methyl-D-aspartate receptor subunit 3) (NR3) (hNR3)
GRIP1	GRIP1	Glutamate receptor-interacting protein 1 (GRIP-1)	Glutamate receptor-interacting protein 1 (GRIP-1)
GRP	GRP	Gastrin-releasing peptide (GRP) [Cleaved into: Neuromedin-C (GRP-10) (GRP18-27)]	Gastrin-releasing peptide (GRP) [Cleaved into: Neuromedin-C (GRP-10) (GRP18-27)]
GSTP1	TPI1	Glutathione S-transferase P (EC 2.5.1.18) (GST class-pi) (GSTP1-1)	Triosephosphate isomerase (TIM) (EC 5.3.1.1) (Methylglyoxal synthase) (EC 4.2.3.3) (Triose-phosphate isomerase)
GTF2H2	GTF2H3	General transcription factor IIH subunit 2 (Basic transcription factor 2 44 kDa subunit) (BTF2 p44) (General transcription factor IIH polypeptide 2) (TFIIH basal transcription factor complex p44 subunit)	General transcription factor IIH subunit 3 (Basic transcription factor 2 34 kDa subunit) (BTF2 p34) (General transcription factor IIH polypeptide 3) (TFIIH basal transcription factor complex p34 subunit)
GTF2IRD2B	PAK4	General transcription factor II-I repeat domain-containing protein 2B (GTF2I repeat domain-containing protein 2B) (Transcription factor GTF2IRD2-beta)	Serine/threonine-protein kinase PAK 4 (EC 2.7.11.1) (p21-activated kinase 4) (PAK-4)
GTF3A	JTB	Transcription factor IIIA (TFIIIA)	Protein JTB (Jumping translocation breakpoint protein) (Prostate androgen-regulated protein) (PAR protein)
HADHA	HADHB	Trifunctional enzyme subunit alpha, mitochondrial (78 kDa gastrin-binding protein) (Monolysocardiolipin acyltransferase) (MLCL AT) (EC 2.3.1.-) (TP-alpha) [Includes: Long-chain enoyl-CoA hydratase (EC 4.2.1.17); Long chain 3-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.211)]	Trifunctional enzyme subunit beta, mitochondrial (TP-beta) [Includes: 3-ketoacyl-CoA thiolase (EC 2.3.1.155) (EC 2.3.1.16) (Acetyl-CoA acyltransferase) (Beta-ketothiolase)]
HAP1	HAP1	Huntingtin-associated protein 1 (HAP-1) (Neuroan 1)	Huntingtin-associated protein 1 (HAP-1) (Neuroan 1)
HARS2	HARS2	Histidine--tRNA ligase, mitochondrial (EC 6.1.1.21) (Histidine--tRNA ligase-like) (Histidyl-tRNA synthetase) (HisRS)	Histidine--tRNA ligase, mitochondrial (EC 6.1.1.21) (Histidine--tRNA ligase-like) (Histidyl-tRNA synthetase) (HisRS)
HAS1	HAS3	Hyaluronan synthase 1 (EC 2.4.1.212) (Hyaluronate synthase 1) (Hyaluronic acid synthase 1) (HA synthase 1) (HuHAS1)	Hyaluronan synthase 3 (EC 2.4.1.212) (Hyaluronate synthase 3) (Hyaluronic acid synthase 3) (HA synthase 3)
HAUS2	HAUS3	HAUS augmin-like complex subunit 2 (Centrosomal protein of 27 kDa) (Cep27)	HAUS augmin-like complex subunit 3
HAX1	NOL7	HCLS1-associated protein X-1 (HS1-associating protein X-1) (HAX-1) (HS1-binding protein 1) (HSP1BP-1)	U3 small nucleolar RNA-associated protein NOL7 (U3 snoRNA-associated protein NOL7) (Nucleolar protein 7) (Nucleolar protein of 27 kDa)
HBB	HBG2	Hemoglobin subunit beta (Beta-globin) (Hemoglobin beta chain) [Cleaved into: LVV-hemorphin-7; Spinorphin]	Hemoglobin subunit gamma-2 (Gamma-2-globin) (Hb F Ggamma) (Hemoglobin gamma-2 chain) (Hemoglobin gamma-G chain)
HCFC1	MCRS1	Host cell factor 1 (HCF) (HCF-1) (C1 factor) (CFF) (VCAF) (VP16 accessory protein) [Cleaved into: HCF N-terminal chain 1; HCF N-terminal chain 2; HCF N-terminal chain 3; HCF N-terminal chain 4; HCF N-terminal chain 5; HCF N-terminal chain 6; HCF C-terminal chain 1; HCF C-terminal chain 2; HCF C-terminal chain 3; HCF C-terminal chain 4; HCF C-terminal chain 5; HCF C-terminal chain 6]	Microspherule protein 1 (58 kDa microspherule protein) (Cell cycle-regulated factor p78) (INO80 complex subunit J) (MCRS2)
HCLS1	LAPTM5	Hematopoietic lineage cell-specific protein (Hematopoietic cell-specific LYN substrate 1) (LckBP1) (p75)	Lysosomal-associated transmembrane protein 5 (Lysosomal-associated multitransmembrane protein 5) (Retinoic acid-inducible E3 protein)
HCN4	IKZF5	Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4	Zinc finger protein Pegasus (Ikaros family zinc finger protein 5)
HDAC1	MBD2	Histone deacetylase 1 (HD1) (EC 3.5.1.98) (Protein deacetylase HDAC1) (EC 3.5.1.-) (Protein deacylase HDAC1) (EC 3.5.1.-)	Methyl-CpG-binding domain protein 2 (Demethylase) (DMTase) (Methyl-CpG-binding protein MBD2)
HDAC7	HDAC7	Histone deacetylase 7 (HD7) (EC 3.5.1.98) (Histone deacetylase 7A) (HD7a) (Protein deacetylase HDAC7) (EC 3.5.1.-)	Histone deacetylase 7 (HD7) (EC 3.5.1.98) (Histone deacetylase 7A) (HD7a) (Protein deacetylase HDAC7) (EC 3.5.1.-)
HDC	HDC	Histidine decarboxylase (HDC) (EC 4.1.1.22)	Histidine decarboxylase (HDC) (EC 4.1.1.22)
HEATR1	UTP15	HEAT repeat-containing protein 1 (Protein BAP28) (U3 small nucleolar RNA-associated protein 10 homolog) [Cleaved into: HEAT repeat-containing protein 1, N-terminally processed]	U3 small nucleolar RNA-associated protein 15 homolog
HECA	RAB33B	Headcase protein homolog (hHDC)	Ras-related protein Rab-33B (EC 3.6.5.2)
HECTD3	VAC14	E3 ubiquitin-protein ligase HECTD3 (EC 2.3.2.26) (HECT domain-containing protein 3) (HECT-type E3 ubiquitin transferase HECTD3)	Protein VAC14 homolog (Tax1-binding protein 2)
HES1	MIDN	Transcription factor HES-1 (Class B basic helix-loop-helix protein 39) (bHLHb39) (Hairy and enhancer of split 1) (Hairy homolog) (Hairy-like protein) (hHL)	Midnolin (Midbrain nucleolar protein)
HEXA	HEXB	Beta-hexosaminidase subunit alpha (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit alpha) (Hexosaminidase subunit A) (N-acetyl-beta-glucosaminidase subunit alpha)	Beta-hexosaminidase subunit beta (EC 3.2.1.52) (Beta-N-acetylhexosaminidase subunit beta) (Hexosaminidase subunit B) (Cervical cancer proto-oncogene 7 protein) (HCC-7) (N-acetyl-beta-glucosaminidase subunit beta) [Cleaved into: Beta-hexosaminidase subunit beta chain B; Beta-hexosaminidase subunit beta chain A]
HGS	STAM2	Hepatocyte growth factor-regulated tyrosine kinase substrate (Hrs) (Protein pp110)	Signal transducing adapter molecule 2 (STAM-2) (Hrs-binding protein)
HIGD2A	PGLS	HIG1 domain family member 2A, mitochondrial (RCF1 homolog B) (RCF1b)	6-phosphogluconolactonase (6PGL) (EC 3.1.1.31)
HIP1	HIPK2	Huntingtin-interacting protein 1 (HIP-1) (Huntingtin-interacting protein I) (HIP-I)	Homeodomain-interacting protein kinase 2 (hHIPk2) (EC 2.7.11.1)
HIVEP3	SETBP1	Transcription factor HIVEP3 (Human immunodeficiency virus type I enhancer-binding protein 3) (Kappa-B and V(D)J recombination signal sequences-binding protein) (Kappa-binding protein 1) (KBP-1) (Zinc finger protein ZAS3)	SET-binding protein (SEB)
HK2	PTP4A1	Hexokinase-2 (EC 2.7.1.1) (Hexokinase type II) (HK II) (Hexokinase-B) (Muscle form hexokinase)	Protein tyrosine phosphatase type IVA 1 (EC 3.1.3.48) (PTP(CAAXI)) (Protein-tyrosine phosphatase 4a1) (Protein-tyrosine phosphatase of regenerating liver 1) (PRL-1)
HMCN1	SEMA3C	Hemicentin-1 (Fibulin-6) (FIBL-6)	Semaphorin-3C (Semaphorin-E) (Sema E)
HMCN2	TLE2	Hemicentin-2	Transducin-like enhancer protein 2 (Enhancer of split groucho-like protein 2) (ESG2)
HMX3	HMX3	Homeobox protein HMX3 (Homeobox protein H6 family member 3) (Homeobox protein Nkx-5.1)	Homeobox protein HMX3 (Homeobox protein H6 family member 3) (Homeobox protein Nkx-5.1)
HNF4A	HNF4G	Hepatocyte nuclear factor 4-alpha (HNF-4-alpha) (Nuclear receptor subfamily 2 group A member 1) (Transcription factor 14) (TCF-14) (Transcription factor HNF-4)	Hepatocyte nuclear factor 4-gamma (HNF-4-gamma) (Nuclear receptor subfamily 2 group A member 2)
HNRNPA1L2	TP53	Heterogeneous nuclear ribonucleoprotein A1-like 2 (hnRNP A1-like 2) (hnRNP core protein A1-like 2)	Cellular tumor antigen p53 (Antigen NY-CO-13) (Phosphoprotein p53) (Tumor suppressor p53)
HNRNPA3	HNRNPK	Heterogeneous nuclear ribonucleoprotein A3 (hnRNP A3)	Heterogeneous nuclear ribonucleoprotein K (hnRNP K) (Transformation up-regulated nuclear protein) (TUNP)
HNRNPH2	TARDBP	Heterogeneous nuclear ribonucleoprotein H2 (hnRNP H2) (FTP-3) (Heterogeneous nuclear ribonucleoprotein H') (hnRNP H') [Cleaved into: Heterogeneous nuclear ribonucleoprotein H2, N-terminally processed]	TAR DNA-binding protein 43 (TDP-43)
HNRNPLL	RASGRP1	Heterogeneous nuclear ribonucleoprotein L-like (hnRNPLL) (Stromal RNA-regulating factor)	RAS guanyl-releasing protein 1 (Calcium and DAG-regulated guanine nucleotide exchange factor II) (CalDAG-GEFII) (Ras guanyl-releasing protein)
HOMER1	LRRTM3	Homer protein homolog 1 (Homer-1)	Leucine-rich repeat transmembrane neuronal protein 3
HOOK1	HOOK3	Protein Hook homolog 1 (h-hook1) (hHK1)	Protein Hook homolog 3 (h-hook3) (hHK3)
HOXB5	HOXB6	Homeobox protein Hox-B5 (Homeobox protein HHO.C10) (Homeobox protein Hox-2A) (Homeobox protein Hu-1)	Homeobox protein Hox-B6 (Homeobox protein Hox-2.2) (Homeobox protein Hox-2B) (Homeobox protein Hu-2)
HPN	HSD17B2	Serine protease hepsin (EC 3.4.21.106) (Transmembrane protease serine 1) [Cleaved into: Serine protease hepsin non-catalytic chain; Serine protease hepsin catalytic chain]	17-beta-hydroxysteroid dehydrogenase type 2 (17-beta-HSD 2) (20 alpha-hydroxysteroid dehydrogenase) (20-alpha-HSD) (E2DH) (Estradiol 17-beta-dehydrogenase 2) (EC 1.1.1.62) (Microsomal 17-beta-hydroxysteroid dehydrogenase) (Short chain dehydrogenase/reductase family 9C member 2) (Testosterone 17-beta-dehydrogenase) (EC 1.1.1.239)
HPSE	RBPMS2	Heparanase (EC 3.2.1.166) (Endo-glucoronidase) (Heparanase-1) (Hpa1) [Cleaved into: Heparanase 8 kDa subunit; Heparanase 50 kDa subunit]	RNA-binding protein with multiple splicing 2 (RNA binding protein, mRNA processing factor 2)
HRC	PIPOX	Sarcoplasmic reticulum histidine-rich calcium-binding protein	Peroxisomal sarcosine oxidase (PSO) (EC 1.5.3.1) (EC 1.5.3.7) (L-pipecolate oxidase) (L-pipecolic acid oxidase)
HS3ST5	HS3ST5	Heparan sulfate glucosamine 3-O-sulfotransferase 5 (EC 2.8.2.23) (Heparan sulfate D-glucosaminyl 3-O-sulfotransferase 5) (3-OST-5) (Heparan sulfate 3-O-sulfotransferase 5) (h3-OST-5)	Heparan sulfate glucosamine 3-O-sulfotransferase 5 (EC 2.8.2.23) (Heparan sulfate D-glucosaminyl 3-O-sulfotransferase 5) (3-OST-5) (Heparan sulfate 3-O-sulfotransferase 5) (h3-OST-5)
HSD17B10	TRMT10C	3-hydroxyacyl-CoA dehydrogenase type-2 (EC 1.1.1.35) (17-beta-estradiol 17-dehydrogenase) (EC 1.1.1.62) (2-methyl-3-hydroxybutyryl-CoA dehydrogenase) (MHBD) (3-alpha-(17-beta)-hydroxysteroid dehydrogenase (NAD(+))) (EC 1.1.1.239) (3-hydroxy-2-methylbutyryl-CoA dehydrogenase) (EC 1.1.1.178) (3-hydroxyacyl-CoA dehydrogenase type II) (3alpha(or 20beta)-hydroxysteroid dehydrogenase) (EC 1.1.1.53) (7-alpha-hydroxysteroid dehydrogenase) (EC 1.1.1.159) (Endoplasmic reticulum-associated amyloid beta-peptide-binding protein) (Mitochondrial ribonuclease P protein 2) (Mitochondrial RNase P protein 2) (Short chain dehydrogenase/reductase family 5C member 1) (Short-chain type dehydrogenase/reductase XH98G2) (Type II HADH)	tRNA methyltransferase 10 homolog C (HBV pre-S2 trans-regulated protein 2) (Mitochondrial ribonuclease P protein 1) (Mitochondrial RNase P protein 1) (RNA (guanine-9-)-methyltransferase domain-containing protein 1) (Renal carcinoma antigen NY-REN-49) (mRNA methyladenosine-N(1)-methyltransferase) (EC 2.1.1.-) (tRNA (adenine(9)-N(1))-methyltransferase) (EC 2.1.1.218) (tRNA (guanine(9)-N(1))-methyltransferase) (EC 2.1.1.221)
HSD17B6	SFTPD	17-beta-hydroxysteroid dehydrogenase type 6 (17-beta-HSD 6) (17-beta-HSD6) (EC 1.1.1.105) (EC 1.1.1.209) (EC 1.1.1.239) (EC 1.1.1.53) (EC 1.1.1.62) (3-alpha->beta-hydroxysteroid epimerase) (3-alpha->beta-HSE) (Oxidative 3-alpha hydroxysteroid dehydrogenase) (Short chain dehydrogenase/reductase family 9C member 6)	Pulmonary surfactant-associated protein D (PSP-D) (SP-D) (Collectin-7) (Lung surfactant protein D)
HSP90AB1	PTMA	Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa) (HSP 84) (HSP84) (Heat shock protein family C member 3)	Prothymosin alpha [Cleaved into: Prothymosin alpha, N-terminally processed; Thymosin alpha-1]
HSPA1A	HSPB1	Heat shock 70 kDa protein 1A (Heat shock 70 kDa protein 1) (HSP70-1) (HSP70.1) (Heat shock protein family A member 1A)	Heat shock protein beta-1 (HspB1) (28 kDa heat shock protein) (Estrogen-regulated 24 kDa protein) (Heat shock 27 kDa protein) (HSP 27) (Heat shock protein family B member 1) (Stress-responsive protein 27) (SRP27)
HSPA4L	MAPRE3	Heat shock 70 kDa protein 4L (Heat shock 70-related protein APG-1) (Heat shock protein family H member 3) (Heat-shock protein family A member 4-like protein) (HSPA4-like protein) (Osmotic stress protein 94)	Microtubule-associated protein RP/EB family member 3 (EB1 protein family member 3) (EBF3) (End-binding protein 3) (EB3) (RP3)
HTRA1	LRP1	Serine protease HTRA1 (EC 3.4.21.-) (High-temperature requirement A serine peptidase 1) (L56) (Serine protease 11)	Prolow-density lipoprotein receptor-related protein 1 (LRP-1) (Alpha-2-macroglobulin receptor) (A2MR) (Apolipoprotein E receptor) (APOER) (CD antigen CD91) [Cleaved into: Low-density lipoprotein receptor-related protein 1 85 kDa subunit (LRP-85); Low-density lipoprotein receptor-related protein 1 515 kDa subunit (LRP-515); Low-density lipoprotein receptor-related protein 1 intracellular domain (LRPICD)]
HYAL3	HYAL3	Hyaluronidase-3 (Hyal-3) (EC 3.2.1.35) (Hyaluronoglucosaminidase-3) (Lung carcinoma protein 3) (LuCa-3)	Hyaluronidase-3 (Hyal-3) (EC 3.2.1.35) (Hyaluronoglucosaminidase-3) (Lung carcinoma protein 3) (LuCa-3)
HYDIN	MOK	Hydrocephalus-inducing protein homolog	MAPK/MAK/MRK overlapping kinase (EC 2.7.11.22) (MOK protein kinase) (Renal tumor antigen 1) (RAGE-1)
ICE2	ZC3H8	Little elongation complex subunit 2 (Interactor of little elongator complex ELL subunit 2) (NMDA receptor-regulated protein 2)	Zinc finger CCCH domain-containing protein 8
