Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
SNX11		ENSG00000002919	"Sorting nexin 11"	Q9Y5W9	17	48103357-48123601	"Predicted intracellular proteins"	"Protein transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in all"		"Oocytes: 36.0"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA044787, HPA054660"	Approved		Approved	"Endoplasmic reticulum,Vesicles"			NA	NA			"Cluster 28: Neutrophils - Unknown function"	"Cluster 70: Lymphoid tissue - Immune response"	"Cluster 13: Oligodendrocytes - Mixed function"	"Cluster 55: Lymphoma - Immune response"	"Cluster 14: Langerhans cells - Innate immune response"	10	"Endoplasmic reticulum"	Vesicles	"HPA044787: AB_10795988, HPA054660: AB_2682560"	"unprognostic (5.95e-2)"	"unprognostic (1.62e-2)"	"unprognostic (2.35e-1)"	"unprognostic (9.02e-3)"	"unprognostic (3.98e-2)"	"unprognostic (1.04e-2)"	"unprognostic (6.75e-2)"	"unprognostic (8.98e-3)"	"unprognostic (1.11e-1)"	"unprognostic (7.79e-2)"	"potential prognostic favorable (5.68e-5)"	"unprognostic (8.22e-2)"	"unprognostic (1.18e-3)"	"potential prognostic unfavorable (1.53e-4)"	"unprognostic (2.20e-2)"	"unprognostic (2.43e-1)"	"unprognostic (1.93e-1)"	"unprognostic (5.98e-2)"	"unprognostic (2.13e-1)"	"unprognostic (1.23e-1)"	"unprognostic (4.53e-2)"	"unprognostic (8.39e-2)"	"potential prognostic unfavorable (6.52e-4)"	"unprognostic (3.21e-1)"	"unprognostic (1.46e-2)"	"unprognostic (5.90e-2)"	"unprognostic (6.75e-2)"	"unprognostic (3.07e-1)"	"unprognostic (2.10e-1)"	"unprognostic (1.24e-1)"	"unprognostic (2.07e-1)"
SNX17	KIAA0064	ENSG00000115234	"Sorting nexin 17"	Q15036	2	27370496-27377535	"Predicted intracellular proteins, Transporters"	"Protein transport, Transport"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA043867	Supported		Enhanced	Vesicles,Cytosol			No	No		5500	"Cluster 29: Non-specific - Unknown function"	"Cluster 66: Non-specific - Transcription"	"Cluster 27: Non-specific - Mixed function"	"Cluster 26: Non-specific - Mitochondria & RNA binding"	"Cluster 24: Cytotrophoblasts - Mitochondria"	17	Vesicles	Cytosol	"HPA043867: AB_10961129"	"unprognostic (7.87e-2)"	"unprognostic (1.14e-2)"	"unprognostic (4.19e-2)"	"unprognostic (2.38e-2)"	"unprognostic (2.37e-2)"	"unprognostic (2.01e-1)"	"unprognostic (1.39e-1)"	"unprognostic (4.09e-1)"	"unprognostic (2.60e-1)"	"unprognostic (8.33e-3)"	"potential prognostic favorable (8.93e-7)"	"unprognostic (6.19e-2)"	"unprognostic (9.56e-2)"	"unprognostic (1.06e-2)"	"potential prognostic unfavorable (6.58e-5)"	"unprognostic (1.53e-1)"	"unprognostic (3.69e-3)"	"unprognostic (6.59e-2)"	"unprognostic (1.33e-1)"	"unprognostic (3.65e-1)"	"unprognostic (6.97e-2)"	"unprognostic (2.94e-1)"	"unprognostic (1.82e-1)"	"unprognostic (1.25e-1)"	"unprognostic (7.73e-2)"	"unprognostic (1.45e-1)"	"unprognostic (1.44e-2)"	"unprognostic (1.38e-1)"	"unprognostic (2.73e-1)"	"unprognostic (2.57e-2)"	"unprognostic (1.32e-1)"
SOD1	"ALS, ALS1, IPOA"	ENSG00000142168	"Superoxide dismutase 1"	P00441	21	31659666-31668931	"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"		"Antioxidant, Oxidoreductase"	"Amyotrophic lateral sclerosis, Cancer-related genes, Disease variant, Neurodegeneration"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"liver: 1594.4"	"Cell type enhanced"	"Detected in all"		"Hepatocytes: 4274.5;Proximal tubular cells: 3191.3"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Heart muscle - Cardiomyocytes, Liver - Hepatocytes, Liver - Hepatocytes, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA001401, CAB008670"	Enhanced		Enhanced	Nucleoplasm,Cytosol			NA	NA		52000000	"Cluster 9: T-regs - Cell cycle regulation"	"Cluster 69: Liver - Oxidoreductase activity"	"Cluster 27: Non-specific - Mixed function"	"Cluster 47: Leukemia - Hemostasis"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	118	Nucleoplasm	Cytosol	"CAB008670: AB_1623312, HPA001401: AB_1080132"	"unprognostic (1.06e-1)"	"unprognostic (2.88e-3)"	"unprognostic (9.12e-2)"	"unprognostic (3.54e-3)"	"unprognostic (2.55e-1)"	"unprognostic (2.74e-2)"	"unprognostic (4.06e-2)"	"unprognostic (1.42e-1)"	"unprognostic (3.08e-3)"	"unprognostic (1.63e-1)"	"unprognostic (1.33e-2)"	"unprognostic (1.96e-1)"	"unprognostic (1.54e-3)"	"unprognostic (1.04e-1)"	"unprognostic (2.05e-2)"	"unprognostic (4.03e-3)"	"unprognostic (3.70e-2)"	"unprognostic (6.53e-3)"	"unprognostic (4.46e-2)"	"unprognostic (2.05e-1)"	"unprognostic (1.03e-1)"	"unprognostic (1.05e-1)"	"unprognostic (1.53e-3)"	"unprognostic (1.46e-1)"	"unprognostic (1.98e-2)"	"unprognostic (9.22e-2)"	"unprognostic (3.10e-1)"	"unprognostic (2.70e-2)"	"unprognostic (1.22e-2)"	"unprognostic (4.18e-2)"	"unprognostic (1.07e-1)"
SORD		ENSG00000140263	"Sorbitol dehydrogenase"	Q00796	15	45023147-45077185	"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins"		Oxidoreductase	"Disease variant, Neuropathy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"cervix: 164.8;liver: 262.8"	"Group enriched"	"Detected in many"	4	"Hepatocytes: 268.0;Prostatic glandular cells: 161.1;Proximal tubular cells: 148.1"	"Low cell type specificity"	"Detected in all"			"Group enriched"	"Detected in all"	4	"Liver Hepatocellular Carcinoma (TCGA): 60.8;Prostate Adenocarcinoma (TCGA): 157.6;Thyroid Carcinoma (TCGA): 73.1"	"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in all"	11	"basophil: 87.7;eosinophil: 62.8"	"Lineage enriched"	"Detected in all"	12	"granulocytes: 87.7"	"Low cancer specificity"	"Detected in all"			"Breast - Breast glandular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Pituitary gland - Thyrotropes, Prostate - Prostate glandular cells, Testis - Sertoli cells, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA040260, HPA040621"	Enhanced		Approved	"Cytosol,Acrosome,Equatorial segment"			NA	NA		2600000	"Cluster 22: Eosinophils - Transcription"	"Cluster 1: Liver & Kidney - Metabolism"	"Cluster 15: Non-specific - Transcription"	"Cluster 60: Prostate cancer - Unknown function"	"Cluster 56: Proximal tubular cells - Amino acid metabolism"	5	Cytosol	"Acrosome, Equatorial segment"	"HPA040260: AB_10794872, HPA040621: AB_10795384"	"unprognostic (4.10e-2)"	"unprognostic (1.82e-1)"	"unprognostic (4.18e-2)"	"unprognostic (1.66e-3)"	"unprognostic (1.22e-1)"	"unprognostic (5.03e-2)"	"unprognostic (3.74e-1)"	"unprognostic (1.65e-2)"	"unprognostic (8.73e-3)"	"unprognostic (3.61e-2)"	"unprognostic (9.16e-2)"	"unprognostic (4.27e-1)"	"unprognostic (7.49e-3)"	"unprognostic (2.24e-3)"	"unprognostic (2.72e-2)"	"unprognostic (4.02e-3)"	"unprognostic (1.09e-2)"	"potential prognostic favorable (4.76e-5)"	"unprognostic (4.22e-2)"	"unprognostic (8.92e-2)"	"unprognostic (3.12e-1)"	"unprognostic (2.51e-2)"	"unprognostic (1.20e-2)"	"unprognostic (2.90e-1)"	"unprognostic (9.87e-2)"	"unprognostic (1.57e-1)"	"unprognostic (6.07e-2)"	"unprognostic (5.35e-2)"	"unprognostic (2.46e-2)"	"unprognostic (2.83e-2)"	"unprognostic (2.50e-1)"
SOX10	"DOM, SOX-10, WS2E, WS4"	ENSG00000100146	"SRY-box transcription factor 10"	P56693	22	37970686-37987422	"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding"	"Deafness, Disease variant, Hirschsprung disease, Kallmann syndrome, Waardenburg syndrome"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"brain: 146.7;salivary gland: 108.4"	"Cell type enhanced"	"Detected in some"		"Breast glandular cells: 34.1;Breast myoepithelial cells: 40.4;Melanocytes: 75.6;Mucus glandular cells: 31.2;Oligodendrocyte precursor cells: 57.5;Oligodendrocytes: 55.2;Schwann cells: 115.3;Serous glandular cells: 33.0"	"Group enriched"	"Detected in many"	59	"committed oligodendrocyte precursor: 230.6;oligodendrocyte: 122.4;oligodendrocyte precursor cell: 143.8"	"Cancer enriched"	"Detected in many"	9	"Skin Cuteneous Melanoma (TCGA): 542.0"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	16	"skin cancer: 313.1"		"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB003171, HPA068898"	Enhanced		Supported	Nucleoplasm			Yes	NA				"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 11: White matter - Signal transduction"	"Cluster 69: Skin cancer - ECM organization"	"Cluster 26: Schwann cells & Melanocytes - Mixed function"	20	Nucleoplasm		"CAB003171: AB_2195374, HPA068898: AB_2686054"		"unprognostic (3.46e-3)"	"unprognostic (2.43e-1)"			"unprognostic (1.47e-1)"	"unprognostic (9.51e-2)"	"unprognostic (1.14e-1)"	"unprognostic (8.32e-2)"									"unprognostic (2.90e-1)"				"unprognostic (1.73e-2)"				"unprognostic (7.51e-2)"	"unprognostic (1.68e-1)"	"unprognostic (2.61e-2)"	"unprognostic (2.39e-1)"		
SOX15	"SOX20, SOX26, SOX27"	ENSG00000129194	"SRY-box transcription factor 15"	O60248	17	7588178-7590094	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, DNA-binding, Repressor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"esophagus: 84.9;skin 1: 46.7"	"Group enriched"	"Detected in many"	4	"Basal keratinocytes: 178.5;Basal squamous epithelial cells: 420.8;Squamous epithelial cells: 360.5;Suprabasal keratinocytes: 164.8"	"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in many"		"Head and Neck Squamous Cell Carcinoma (TCGA): 77.8;Testicular Germ Cell Tumor (TCGA): 129.8"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in some"		"intermediate monocyte: 6.7;non-classical monocyte: 10.6"	"Lineage enriched"	"Detected in many"	5	"monocytes: 10.6"	"Cancer enhanced"	"Detected in all"		"cervical cancer: 73.6;Esophageal cancer: 53.2;head and neck cancer: 82.2"	"Minor Salivary Gland - Minor salivary gland basal cells, Skin - Keratinocyte (other), Thyroid gland - Fibroblasts"	"Not detected"	"Not detected"							"HPA067196, HPA074049"	Enhanced		Approved	Nucleoplasm,Nucleoli,Vesicles			Yes	NA			"Cluster 37: Monocytes & Neutrophils - Innate immune response"	"Cluster 27: Squamous epithelium - Keratinization"	"Cluster 10: Cerebellum - Nucleic acid binding"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 12: Squamous epithelial cells - Keratinization"	26	Nucleoplasm	"Nucleoli, Vesicles"	"HPA067196: AB_2685802, HPA074049: AB_2686656"	"unprognostic (9.76e-2)"	"unprognostic (2.02e-2)"	"unprognostic (4.65e-3)"	"unprognostic (3.57e-1)"		"unprognostic (2.75e-2)"	"unprognostic (4.44e-2)"	"unprognostic (3.03e-1)"	"unprognostic (2.07e-1)"			"unprognostic (6.67e-2)"	"unprognostic (6.75e-2)"			"unprognostic (1.61e-3)"	"unprognostic (1.33e-1)"	"unprognostic (1.76e-2)"	"unprognostic (5.59e-2)"	"unprognostic (5.93e-2)"	"potential prognostic favorable (8.00e-4)"	"unprognostic (9.45e-2)"	"unprognostic (2.43e-1)"	"unprognostic (1.41e-1)"		"unprognostic (1.25e-1)"	"unprognostic (3.67e-1)"	"unprognostic (1.14e-1)"	"unprognostic (1.77e-1)"	"unprognostic (3.51e-3)"	"unprognostic (6.29e-2)"
SOX17		ENSG00000164736	"SRY-box transcription factor 17"	Q9H6I2	8	54457935-54460892	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation, Wnt signaling pathway"	"Activator, DNA-binding"	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"adipose tissue: 47.5"	"Cell type enhanced"	"Detected in many"		"Adipocytes: 466.9;Ciliated cells: 118.3;Endothelial cells: 214.9;Glandular and luminal cells: 520.3;Secretory cells: 98.0"	"Cell type enriched"	"Detected in some"	5	"endothelial cell: 52.6"	"Cancer enhanced"	"Detected in many"		"Ovary Serous Cystadenocarcinoma (TCGA): 125.8;Uterine Corpus Endometrial Carcinoma (TCGA): 160.6"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	14	"liver cancer: 9.6;ovarian cancer: 38.3;Rhabdoid: 33.2;Uterine cancer: 37.0"	"Breast - Endothelial cells, Colon - Endothelial cells, Heart muscle - Endothelial cells, Liver - Vascular Endothelial cells, Minor Salivary Gland - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB025594, HPA058949, HPA068399"	Enhanced		Approved	"Nucleoplasm,Nuclear membrane"			NA	NA				"Cluster 7: Adipose tissue - Mixed function"	"Cluster 47: Endothelial cells - Vasculature"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 37: Glandular & Luminal cells - Unknown function"	3	Nucleoplasm	"Nuclear membrane"	"CAB025594: , HPA058949: , HPA068399: AB_2685981"	"unprognostic (3.50e-1)"	"unprognostic (2.17e-1)"	"unprognostic (2.06e-1)"	"unprognostic (1.05e-2)"		"unprognostic (1.02e-1)"	"unprognostic (7.52e-2)"	"unprognostic (2.09e-2)"		"unprognostic (1.38e-2)"	"validated prognostic favorable (6.22e-6)"	"validated prognostic favorable (5.39e-4)"		"unprognostic (8.71e-3)"	"unprognostic (4.23e-3)"	"unprognostic (2.03e-1)"				"unprognostic (6.19e-2)"	"unprognostic (1.22e-1)"	"unprognostic (1.15e-2)"	"unprognostic (1.71e-1)"	"unprognostic (1.37e-1)"		"unprognostic (1.22e-1)"		"unprognostic (7.35e-3)"	"unprognostic (1.05e-1)"	"unprognostic (3.73e-1)"	"unprognostic (2.47e-3)"
SOX2		ENSG00000181449	"SRY-box transcription factor 2"	P48431	3	181711925-181714436	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"	"Cancer-related genes, Disease variant, Microphthalmia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"brain: 71.3;esophagus: 23.8"	"Cell type enhanced"	"Detected in many"		"Basal squamous epithelial cells: 285.2;Club cells: 70.1;Muller glia cells: 305.6;Schwann cells: 122.6;Squamous epithelial cells: 210.0"	"Cell type enhanced"	"Detected in some"		"astrocyte: 2.2;bergmann glia: 2.3"	"Cancer enhanced"	"Detected in many"		"Glioblastoma Multiforme (TCGA): 224.8;Lung Squamous Cell Carcinoma (TCGA): 120.1"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"cervical cancer: 74.9"	"Adrenal gland - Schwann cells, Colon - Enteric glia cells, Lung - Respiratory ciliated cells, Pituitary gland - Undifferentiated cells (Pituitary gland)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA045725, HPA062851, HPA071379, CAB079745"	Enhanced	Supported	Enhanced	Nucleoplasm			NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 32: Non-specific - Cell proliferation"	"Cluster 10: Muller glia cells - Visual perception"	211	Nucleoplasm		"CAB079745: , HPA045725: AB_2679431, HPA062851: , HPA071379: "	"unprognostic (2.57e-1)"	"unprognostic (1.41e-2)"	"unprognostic (1.42e-1)"	"unprognostic (1.57e-2)"	"unprognostic (1.86e-1)"	"unprognostic (2.64e-2)"	"unprognostic (5.80e-2)"	"unprognostic (7.93e-3)"	"unprognostic (1.04e-1)"							"unprognostic (9.82e-3)"	"unprognostic (8.30e-2)"	"unprognostic (1.74e-3)"	"unprognostic (6.83e-3)"	"unprognostic (2.55e-3)"	"unprognostic (3.03e-3)"		"unprognostic (5.42e-2)"	"unprognostic (5.49e-2)"	"unprognostic (5.95e-2)"	"unprognostic (1.56e-2)"	"unprognostic (9.14e-2)"	"unprognostic (8.52e-2)"	"unprognostic (2.72e-1)"		"unprognostic (1.77e-2)"
SOX9	"CMD1, CMPD1, SRA1"	ENSG00000125398	"SRY-box transcription factor 9"	P48436	17	72121020-72126416	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors"	"Differentiation, Transcription, Transcription regulation"	"Activator, DNA-binding"	"Cancer-related genes, Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"salivary gland: 77.8"	"Cell type enhanced"	"Detected in many"		"Basal squamous epithelial cells: 202.8;Cholangiocytes: 190.8;Mucus glandular cells: 170.6;Salivary duct cells: 210.3;Sertoli cells: 168.6;Squamous epithelial cells: 275.6"	"Cell type enhanced"	"Detected in many"		"astrocyte: 193.5;ependymal cell: 258.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Liver - Cholangiocyte, Pituitary gland - Undifferentiated cells (Pituitary gland), Prostate - Prostate basal glandular cells, Testis - Sertoli cells, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA001758, CAB022456, CAB068240, HPA070776"	Enhanced		Enhanced	Nucleoplasm			NA	NA				"Cluster 32: Endocrine & Neural - Unknown function"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 12: Squamous epithelial cells - Keratinization"	16	Nucleoplasm		"CAB022456: , CAB068240: AB_2665670, HPA001758: AB_1080067, HPA070776: "	"unprognostic (2.34e-1)"	"unprognostic (4.16e-2)"	"unprognostic (5.80e-2)"	"unprognostic (2.29e-3)"	"unprognostic (1.17e-2)"	"unprognostic (1.29e-1)"	"unprognostic (1.34e-1)"	"unprognostic (3.97e-3)"	"unprognostic (7.66e-3)"	"unprognostic (1.50e-1)"	"unprognostic (2.39e-3)"	"unprognostic (1.22e-2)"	"unprognostic (5.23e-2)"	"potential prognostic unfavorable (6.57e-4)"	"unprognostic (2.63e-2)"	"unprognostic (2.88e-3)"	"unprognostic (4.21e-2)"	"unprognostic (1.83e-2)"	"unprognostic (2.77e-1)"	"unprognostic (9.92e-2)"	"unprognostic (8.70e-2)"	"unprognostic (1.57e-2)"	"unprognostic (2.43e-1)"	"unprognostic (6.19e-2)"	"unprognostic (1.13e-1)"	"unprognostic (1.53e-1)"	"unprognostic (4.58e-2)"	"unprognostic (2.63e-2)"	"unprognostic (9.80e-2)"	"unprognostic (7.50e-2)"	"unprognostic (1.12e-1)"
SP140	"LYSP100-A, LYSP100-B"	ENSG00000079263	"SP140 nuclear body protein"	Q13342	2	230203110-230313215	"Predicted intracellular proteins, Transcription factors"		DNA-binding		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"intestine: 15.1;lymphoid tissue: 54.3"	"Cell type enhanced"	"Detected in many"		"B-cells: 146.0;monocytes: 50.3;NK-cells: 60.8;Plasma cells: 74.9;T-cells: 58.3"	"Group enriched"	"Detected in all"	7	"central nervous system macrophage: 141.9;leukocyte: 140.6"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"memory B-cell: 97.8"	"Low lineage specificity"	"Detected in all"			"Group enriched"	"Detected in some"	5	"lymphoma: 43.5;Myeloma: 18.6"	"Adipose subcutaneous - T-cells, Adipose visceral - T-cells, Breast - T-cells, Colon - T-cells, Heart muscle - T-cells, Liver - T-cells, Prostate - T-cells, Spleen - B-cells (Spleen), Testis - Early spermatids, Thyroid gland - T-cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA006162, HPA067493"	Enhanced		Approved	"Nucleoli fibrillar center,Mitochondria"			NA	NA			"Cluster 24: Non-specific - Transcription"	"Cluster 36: Lymphoid tissue - Cytokine signaling"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 55: Lymphoma - Immune response"	"Cluster 73: B-cells - B-cell function"	4	"Nucleoli fibrillar center"	Mitochondria	"HPA006162: AB_1857403, HPA067493: AB_2685851"	"potential prognostic favorable (9.14e-4)"	"unprognostic (5.31e-3)"	"unprognostic (4.95e-2)"	"potential prognostic favorable (7.66e-6)"	"unprognostic (6.93e-2)"	"unprognostic (1.32e-1)"	"unprognostic (5.17e-3)"	"unprognostic (3.27e-1)"	"unprognostic (1.92e-3)"		"unprognostic (1.89e-3)"	"unprognostic (3.59e-1)"	"unprognostic (3.18e-3)"	"unprognostic (2.51e-1)"	"unprognostic (3.22e-2)"	"unprognostic (3.03e-3)"	"unprognostic (3.25e-1)"	"unprognostic (8.62e-2)"	"unprognostic (3.26e-1)"	"unprognostic (2.66e-2)"	"unprognostic (5.62e-2)"	"unprognostic (2.78e-2)"	"unprognostic (6.96e-3)"	"unprognostic (2.14e-1)"	"unprognostic (1.03e-2)"	"unprognostic (1.37e-1)"	"unprognostic (4.42e-2)"	"unprognostic (8.00e-2)"	"unprognostic (4.25e-2)"	"unprognostic (3.98e-1)"	"unprognostic (4.28e-1)"
